MomLeg1[1],MomLeg2[1],ATRLeg1[1],ATRLeg2[1],Correlation,Duration,Type,MAE_leg1,MFE_leg1,Profit_leg1,MAE_leg2,MFE_leg2,Profit_leg2,Total_MAE,Total_MFE,Total_Profit,Profit
73.39813525,26.71849988,0.003892,0.0024405,0.87792675,43200,1,-112.97,0,-16.79,-128.59,41.59,3.32,-222.99,0,-13.47,0
36.62020022,72.47335576,0.002725,0.002358,-0.537449631,39600,0,-65.32,0,-23.98,-14.84,83.09,74.44,-25.54,31.36,50.46,1
55.59883924,18.1284865,0.003235,0.0029985,0.793711478,25200,1,-91.34,45.17,20.56,-157.39,54.98,14.65,-112.22,0,35.21,1
35.65107121,77.6427562,0.001942,0.001858,0.105615021,21600,0,-66.15,0,93.95,-12.7,96.24,-88.56,-23.01,30.09,5.39,1
74.79790085,36.97854679,0.002305,0.002674,0.142945691,198000,1,-16.42,45.56,34.19,-42.45,25.12,-33.84,-39.92,70.68,0.35,1
31.07143902,66.26185202,0.002334,0.001989,0.492430153,61200,0,-152.22,0,-127.76,-17.03,141.57,120,-55.04,34.47,-7.76,0
32.26938339,69.57598342,0.0021245,0.002136,0.065904582,25200,0,-72.18,5.71,-92.04,-28.14,257.87,372.62,-22.8,185.69,280.58,1
35.01028322,72.22264773,0.002176,0.002237,-0.735331361,28800,0,-23.72,8.09,24.64,-21.38,18.45,14.33,-45.1,24.79,38.97,1
66.08539783,30.39805379,0.0027015,0.0021895,0.059710582,32400,1,-187.83,0,-154.46,-42.33,338.99,332.66,-88.71,151.16,178.2,1
75.42013566,31.83029955,0.0040525,0.003319,0.627146924,57600,1,-754.6,37.08,-651.12,-46.45,557.23,524.66,-197.37,49.73,-126.46,0
68.36596149,26.16245358,0.0038485,0.002992,-0.58668385,86400,1,-64.2,172.81,26.75,-307.53,4.71,-69.86,-310.36,65.06,-43.11,0
60.0021736,24.47868172,0.004764,0.0031795,0.53400551,25200,1,-109.43,7.99,61.98,-36.89,74.32,-14.51,-74.63,0,47.47,1
20.04232911,60.15620281,0.0044035,0.0021045,0.035213551,57600,0,-50.93,54.5,41.28,-123.9,43.97,-60.96,-141.77,51.6,-19.68,0
30.17422161,65.62364566,0.0030455,0.0022515,-0.051699772,43200,0,-9.85,104.75,152.61,-244.33,0,-205.34,-156.21,0,-52.73,0
62.4669028,24.12122208,0.0025645,0.002121,0.089188598,36000,1,-206.07,0,-159.86,-47.13,170.85,99.17,-90.16,0,-60.69,0
26.48856471,66.33844583,0.0036265,0.002634,0.839210058,68400,0,-115.83,3.39,-13.78,-44.12,154.47,-46.81,-52.8,43.78,-60.59,0
57.62372326,18.52917989,0.0024235,0.002453,-0.477882397,18000,1,-123.9,0,-30.87,-12.05,106.32,25.61,-22.43,0,-5.26,0
52.75089671,89.5711693,0.0035315,0.003011,0.908801376,244800,0,-90.63,34.3,9.89,-35.54,119.14,134.85,-43.73,62.48,144.74,1
39.38853362,79.99761732,0.003218,0.002411,-0.046422498,75600,0,-100.17,2.15,-84.34,-59.33,113.75,115.1,-125.4,39.68,30.76,1
68.99301252,24.60408221,0.0022845,0.0021115,-0.57983992,86400,1,-73.11,23.18,15.42,-230.42,45.24,-209.53,-250.24,25.04,-194.11,0
